[2026-05-08T18:34:55.739Z] 🎤 Vaja Thai TTS Listener Started
[2026-05-08T18:34:55.741Z] 🎯 Listening for messages from: pran, soma, sayanprasathan, mue
[2026-05-08T18:34:55.741Z] 🚀 Starting inbox watcher...
[2026-05-08T18:34:55.741Z] 📊 Starting status reporter...
[2026-05-08T18:35:25.750Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:35:55.752Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:36:25.757Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:36:55.764Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:37:25.772Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:37:55.786Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:38:25.796Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:38:55.807Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:39:25.814Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:39:55.825Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:40:25.838Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:40:55.847Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:41:25.848Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:41:55.855Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:42:25.865Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:42:55.880Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:43:25.893Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:43:55.895Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:44:25.901Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:44:55.902Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:45:25.910Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:45:55.918Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:46:25.935Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:46:55.937Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:47:25.950Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:47:55.961Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:48:25.970Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:48:55.974Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:49:25.981Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:49:55.989Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:50:25.998Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:50:56.007Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:51:26.013Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:51:56.017Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:52:26.028Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:52:56.033Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:53:26.049Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:53:56.058Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:54:26.067Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:54:56.079Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:55:26.091Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:55:56.094Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:56:26.096Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:56:56.107Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:57:26.118Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:57:56.129Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:58:26.139Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:58:56.150Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:59:26.165Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T18:59:56.170Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:00:26.182Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:00:56.195Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:01:26.205Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:01:56.211Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:02:26.213Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:02:56.220Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:03:26.227Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:03:56.244Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:04:26.251Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:04:56.263Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:05:26.267Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
